u,v,name,highway,oneway,length,lanes,bridge,ref,junction,maxspeed,tunnel,access,id,cnt,n_id,Ratio
250698925,250709162,Ρήγα Φεραίου,tertiary,yes,173.782,2,,,,,,,,,179,0.0002581857801599719
250698925,250698926,Πανεπιστημίου,primary,yes,98.087,4,,,,50,,,,,180,0.01161836010719874
250699982,2725672310,Πεσμαζόγλου,tertiary,yes,93.384,1,,,,,,,,,181,0.000211712339731177
250699982,250699983,Πανεπιστημίου,primary,yes,70.405,4,,,,50,,,,,182,0.01223284226397947
2725672310,250691665,Πεσμαζόγλου,tertiary,yes,22.576,1,,,,,,,,,183,0.000211712339731177
2725672310,2725672307,,service,,8.783,,,,,,,private,,,184,0.0
250691665,250691668,Σταδίου,primary,yes,295.134,3,,ΕΟ1,,,,,,,185,0.007394440743781596
250699983,250702474,Πανεπιστημίου,primary,no,28.035,4,,,,50,,,,,186,0.01180941758451711
250699983,250699984,Χαριλάου Τρικούπη,tertiary,yes,82.533,2,,,,30,,,,,187,0.001001760827020691
250699984,250708099,Φειδίου,residential,yes,49.816,,,,,,,,,,188,0.0
250699984,250699362,Χαριλάου Τρικούπη,tertiary,yes,97.582,2,,,,30,,,,,189,0.0009811059646078933
250699362,599116897,Ακαδημίας,secondary,yes,61.61,2,,,,,,,,,190,0.01231029799802746
250699362,250708641,Χαριλάου Τρικούπη,tertiary,yes,112.726,2,,,,30,,,,,191,0.0007487387624639185
250691664,250702474,Αρσάκη,residential,yes,117.80700000000002,"['1', None]",,,,,,,,,192,0.0007487387624639185
250691664,250691665,Σταδίου,primary,yes,101.039,3,,ΕΟ1,,,,,,,193,0.007301493862924006
250691670,250691723,Αμερικής,tertiary,yes,120.226,3,,,,,,,,,194,0.001802136745516604
250691670,42240105,Σταδίου,primary,yes,164.669,3,,ΕΟ1,,,,,,,195,0.004001879592479564
250700343,250708051,Εμμανουήλ Μπενάκη,residential,yes,4.987,1,,,,,,,,,196,2.065486241279775e-05
250700341,250707871,Νικηταρά,residential,yes,89.599,,,,,,,,,,197,0.0
250700341,250700084,Εμμανουήλ Μπενάκη,residential,yes,42.397,1,,,,,,,,,198,0.0006093184411775337
250707871,250700343,"['Γαμβέτα', 'Θεμιστοκλέους']",residential,yes,97.805,,,,,,,,,,199,8.778316525439045e-05
250708099,250708051,Φειδίου,residential,yes,113.996,,,,,,,,,,200,0.0
250708051,250700341,Εμμανουήλ Μπενάκη,residential,yes,56.422,1,,,,,,,,,201,5.163715603199438e-06
250700083,250708099,Γεωργίου Γενναδίου,residential,yes,98.888,,,,,,,,,,202,9.294688085758989e-05
250700083,250699362,Ακαδημίας,secondary,yes,49.97,2,,,,,,,,,203,0.01221735111716987
250706958,388172056,Ζωοδόχου Πηγής,residential,yes,35.540000000000006,,,,,,,,,,204,0.0002530220645567725
250706958,388172075,Σόλωνος,secondary,yes,87.219,2,,,,,,,,,205,0.0001704026149055814
388172056,250700083,Ζωοδόχου Πηγής,residential,yes,77.367,,,,,,,,,,206,0.0002272034865407753
388172056,388172055,Ζαλόγγου,residential,yes,62.864,,,,,,,,,,207,2.581857801599719e-05
250709162,250699359,Ρήγα Φεραίου,tertiary,yes,16.847,2,,,,,,,,,208,0.0002530220645567725
250709162,653971361,Πλατεία Κωστή Παλαμά,service,,88.93599999999999,1,,,,,,,,,209,0.0
653971361,250709162,Πλατεία Κωστή Παλαμά,service,,88.93599999999999,1,,,,,,,,,210,5.163715603199438e-06
262236447,250720871,"['Αγίου Κωνσταντίνου', 'Πλατεία Ομονοίας']",primary,yes,128.817,3,,ΕΟ8,,50,,,,,211,0.007616480514719171
262236447,95663423,3ης Σεπτεμβρίου,primary,yes,72.43499999999999,3,,,,,,,,,212,0.009335997810584584
95663493,844627879,Κουμουνδούρου,residential,yes,24.935,1,,,,,,,,,213,0.0001704026149055814
95663493,95663375,Βερανζέρου,residential,yes,23.699,,,,,,,,,,214,0.0001187654588735871
358464027,9714370549,Ζαΐμη,residential,yes,28.502,,,,,,,,,,215,1.549114680959831e-05
358464027,358464018,Αλεξάνδρας,primary,yes,43.787,3,,,,50,,,,,216,0.00376434867473239
9714370549,358464159,Ζαΐμη,residential,yes,18.991,,,,,,,,,,217,1.549114680959831e-05
9714370549,9714370547,,service,,17.22,,,,,,,,,,218,0.0
358464159,97797081,Ζαΐμη,residential,yes,52.681,,,,,,,,,,219,1.549114680959831e-05
97797081,97788769,Ζαΐμη,residential,yes,99.34,,,,,,,,,,220,0.0
97797081,97797051,Μετσόβου,residential,yes,54.78,,,,,,,,,,221,1.549114680959831e-05
97788769,97788848,Δεληγιάννη,residential,yes,41.739,,,,,,,,,,222,0.0
97797184,97797196,Μαυροματαίων,secondary,yes,47.108,1,,,,,,,,,223,0.001420021790879846
97797184,97797191,Βασιλέως Ηρακλείου,tertiary,yes,65.19,,,,,,,,,,224,1.032743120639888e-05
97797098,97797102,Μετσόβου,residential,yes,83.151,,,,,,,,,,225,5.163715603199438e-06
97797098,358464213,Μαυροματαίων,secondary,yes,53.161,1,,,,,,,,,226,0.001368384634847851
358464213,358464174,Ιουλιανού,residential,yes,65.931,,,,,,,,,,227,4.130972482559551e-05
358464213,358464212,Μαυροματαίων,secondary,yes,45.863,1,,,,,,,,,228,0.00128576518519666
358465186,358465410,Φερών,residential,yes,115.54,,,,,,,,,,229,0.0
358465186,6910572379,Πατησίων,primary,yes,28.951,5,,ΕΟ1,,,,,,,230,0.01252201033775864
358465410,358465186,"['Γκυιλφόρδου', 'Πατησίων', '3ης Σεπτεμβρίου']","['secondary', 'primary', 'residential']",yes,206.16,"['2', '1', '3']",,"[None, 'ΕΟ1']",,,,,,,231,0.01525361589185114
358465904,635126478,Αλιτσης,residential,yes,107.772,,,,,,,,,,232,0.0
358465904,95663394,Ηπείρου,secondary,yes,69.229,1,,,,,,,,,233,0.001032743120639888
635126478,358465939,Αλιτσης,residential,yes,46.120000000000005,,,,,,,,,,234,0.0
635126478,635126483,Τρικόρφων,residential,yes,69.621,,,,,,,,,,235,0.0
250699359,8446047162,Ασκληπιού,tertiary,yes,113.99600000000002,2,,,,,,,,,236,0.0001807300461119803
250699359,10174555843,Ακαδημίας,secondary,yes,171.422,4,,,,40,,,,,237,0.01121042657454598
8446047162,10134034285,Σόλωνος,secondary,yes,55.883,2,,,,,,,,,238,0.000211712339731177
300398465,962356671,Χαλκοκονδύλη,secondary,yes,29.849,1,,,,,,,,,239,3.614600922239607e-05
300398465,95663420,Χαλκοκονδύλη,primary,yes,106.043,2,,,,,,,,,240,0.004280720235052334
300398465,95663385,Σωκράτους,tertiary,yes,63.553,2,,,,,,,,,241,0.0001239291744767865
250714051,250700142,Αιόλου,primary,yes,115.0,2,,ΕΟ1,,,,,,,242,0.007678445101957565
250714051,262236447,"['Πανεπιστημίου', 'Πλατεία Ομονοίας']",primary,yes,124.533,"['4', '5']",,ΕΟ8,,50,,,,,243,0.01708157121538374
95663420,250714052,Χαλκοκονδύλη,primary,yes,121.455,2,,,,,,,,,244,0.005556157989042595
95663420,962356679,3ης Σεπτεμβρίου,primary,yes,58.834,3,,,,,,,,,245,0.008938391709138228
4464395371,364104830,Κωλέττη,residential,yes,24.022,,,,,,,,,,246,0.0
4464395371,388172075,"[None, 'Σουλίου']","['residential', 'service']",,69.351,,,,,,,,,,247,0.0
364104830,250706959,"['Θεμιστοκλέους', 'Κωλέττη']","['tertiary', 'residential']",yes,134.24,"['1', None]",,,,30,,,,,248,5.163715603199438e-06
250714050,95663422,Βερανζέρου,residential,yes,121.943,,,,,,,,,,249,0.0004698981198911489
250714050,250714051,Πατησίων,primary,yes,164.964,3,,ΕΟ1,,,,,,,250,0.009764586205650138
95663422,95663385,Βερανζέρου,residential,yes,105.97299999999998,,,,,,,,,,251,0.0005163715603199438
95663422,95663420,3ης Σεπτεμβρίου,primary,yes,64.85000000000001,3,,,,,,,,,252,0.009805895930475733
250706959,388172083,Θεμιστοκλέους,residential,yes,66.093,,,,,,,,,,253,9.294688085758989e-05
388172055,388172051,Ζαλόγγου,residential,yes,59.999,,,,,,,,,,254,0.0
388172055,388172075,Σουλίου,residential,yes,57.393,,,,,,,,,,255,0.0
388172051,388172082,Εμμανουήλ Μπενάκη,residential,yes,49.747,1,,,,,,,,,256,4.647344042879494e-05
388172075,250700339,Σόλωνος,secondary,yes,31.611,2,,,,,,,,,257,0.0001497477524927837
388172075,4464395371,"[None, 'Σουλίου']","['residential', 'service']",,69.351,,,,,,,,,,258,1.549114680959831e-05
388172082,388172083,Γραβιάς,residential,yes,88.128,,,,,,,,,,259,5.163715603199438e-06
388172082,250700339,Εμμανουήλ Μπενάκη,residential,yes,21.057,1,,,,,,,,,260,2.581857801599719e-05
388172083,250700085,Θεμιστοκλέους,residential,yes,48.86599999999999,,,,,,,,,,261,0.0006506281660031292
